46,You are in a twisted passage. A sign on the wall says "MERLIN".
46,Passages lead south and east.
47,You are in the Explore Experimentation Chamber. Glass cases fill the
47,room, each containing a small dwarf. As you look closer at one, you
47,see a card at the end of it which reads "Olney Littlehand".
47,Passages lead east and west.
48,You are in the basilisk's den. Stone statues of men, looking remarkably
48,life-like, fill the room. Passages lead north, south, and east.
49,You are at the entrance to the Vault of Tomorrow. A steel door closes
49,it off. A passage leads back to the east.
50,You are in the Vault of Tomorrow. The walls consist of blued steel,
50,as do the floor and ceiling. Along the top of each wall are several
50,television screens, each focusing on a different room of the cave.
50,In the center of this relatively empty room is a large pedestal, upon
50,which a figure is seated. A steel plate at the foot of the pedestal
50,reads "Explorer Grandmaster".
51,You are at the edge of a small clearing, surrounded by forest.
51,To the south is a small wooden shack on the hillside.
52,You are in a room bare except for a shelf
52,on one wall, which is covered with papyrus scrolls. Passages lead
52,south and west.
53,You are in a large room, filled with ceiling-high rows of shelves,
53,each shelf lined with dprints. Passages lead north and south.
54,You are at the edge of a deep fissure. There is some vegetation here,
54,along the edge. A dim passage is visible across the fissure.
55,You are on the south side of a deep fissure.
56,You are in a small room with no exits. A note on one wall reads
56,"Remember the magic words".
57,You are in a passage which once continued east here, but is now
57,completely blocked by debris.
58,You are in Limbo, where everything goes when it dies. If you
58,just walked in here, I think it's a bug, so please contact
58,Lippard.Scouting and report it.
-1,end
1,You're inside shack.
2,You're in cellar.
3,You're in room with walls of granite.
4,You're in forest.
5,You're in room with glowing walls of phosphorescent rock.
6,You're in library.
7,You're in room filled with buzzing insects.
8,You're in cubical room of gold.
9,You're in cubical room of silver.
10,You're in room with bare electrical wires.
11,You're in cubical room of platinum.
12,You're in room lined with glass cases of weapons.
13,You're in room lined with racks of weapons.
14,You're in heated room.
15,You're in Elbow Pipe.
16,You're in room lined with torches.
17,You're in room with pond and sandy beach.
18,You're in Elbow Pipe II.
19,You're in the Hall of the Sorcerer.
20,You're in the lower cross room.
21,You're in the Explore Auxiliary Control Center.
22,You're at the Crossroads.
23,You're on west side of abyss.
24,You're at brink of abyss.
25,You're in tunnels.
26,You're in slate room.
27,You're in tunnels.
28,You're in tunnels.
29,You're in tunnels.
30,You're in tunnels.
31,You're in tunnels.
32,You're at west end of long hall.
33,You're at middle of long hall.
34,You're at east end of long hall.
35,You're in dark room.
36,You're in thin room.
37,You're in room with waterfalls.
38,You're in short hall.
39,You're in Elbow Pipe III.
40,You're in metal tunnel.
41,You're in room with fur carpet.
42,You're in terminal room.
43,You're in Lippard room.
44,You're in Chamber of Ages.
45,You're in room with glaring light.
46,You're in twisted passage.
47,You're in Explore Experimentation Chamber.
48,You're in the basilisk's den.
49,You're outside the Vault of Tomorrow.
50,You are in the Vault of Tomorrow. The walls consist of blued steel,
50,as do the floor and ceiling. Along the top of each wall are several
50,television screens, each focusing on a different room of the cave.
50,In the center of this relatively empty room is a large pedestal, upon
50,which a figure is seated. A steel plate at the foot of the pedestal
50,reads "Explorer Grandmaster".
51,You're in clearing outside shack.
52,You're in room with scrolls.
53,You're in room filled with dprints.
54,You're at edge of fissure.
55,You're on south side of fissure.
56,You're in room with no exits.
57,You're in passage blocked by debris.
58,You're in Limbo. If you just walked in here, contact Lippard.Scouting.
-1,end
51,1,1,1,1,2,1,0,0,0,0,1
2,2,3,2,1,2,0,0,1,0,1,0
5,6,3,2,3,3,1,1,0,1,0,0
4,4,51,4,4,4,1,1,1,1,0,0
7,3,5,5,5,5,1,1,0,0,0,0
3,6,9,6,6,6,1,0,1,0,0,0
7,5,8,7,7,7,0,1,1,0,0,0
8,8,10,7,8,8,0,0,1,1,0,0
9,11,9,6,9,9,0,1,0,1,0,0
12,10,10,8,10,10,1,0,0,1,0,0
9,13,11,11,11,11,1,1,0,0,0,0
12,10,26,12,12,12,0,1,1,0,0,0
11,13,14,13,13,13,1,0,1,0,0,0
14,14,18,13,14,14,0,0,1,1,0,0
15,16,15,26,15,15,0,1,0,1,0,0
15,17,16,16,16,16,1,1,0,0,0,0
16,22,17,17,17,17,1,1,0,0,0,0
19,18,18,14,18,18,1,0,0,1,0,0
20,18,19,19,19,19,1,1,0,0,0,0
22,19,20,20,20,20,1,1,0,0,0,0
21,21,21,22,21,21,0,0,0,1,0,0
17,20,21,24,22,25,1,1,1,1,0,1
23,23,23,23,23,23,0,0,0,0,0,0
24,24,22,24,24,24,0,0,1,0,0,0
27,31,25,22,25,25,1,1,1,1,1,1
26,26,15,12,26,26,0,0,1,1,0,0
25,25,28,25,25,25,1,1,1,1,1,1
29,27,27,27,27,27,1,1,1,1,1,1
28,28,28,28,28,28,1,1,1,1,1,1
31,31,31,31,31,32,1,1,1,1,1,1
25,25,30,25,25,25,1,1,1,1,1,1
32,32,33,32,30,32,0,0,1,0,1,0
33,33,34,32,33,33,0,0,1,1,0,0
34,34,36,33,34,34,0,0,1,1,0,0
37,35,35,36,35,35,1,0,0,1,0,0
36,36,35,34,36,36,0,0,1,1,0,0
37,35,38,37,37,37,0,1,1,0,0,0
38,38,39,37,38,38,0,0,1,1,0,0
38,40,39,39,39,39,1,1,0,0,0,0
39,41,40,40,40,40,1,1,0,0,0,0
40,41,57,42,41,41,1,0,1,1,0,0
42,42,41,43,42,42,0,0,1,1,0,0
43,43,42,46,43,43,0,0,1,1,0,0
46,44,44,44,44,44,1,0,0,0,0,0
45,54,45,47,45,45,0,1,0,1,0,0
46,44,43,46,46,46,0,1,1,0,0,0
47,47,45,48,47,47,0,0,1,1,0,0
52,53,47,48,48,48,1,1,1,0,0,0
49,49,52,49,49,49,0,0,1,0,0,0
50,50,50,50,50,50,0,0,0,0,0,0
4,1,4,4,51,51,1,1,1,1,0,0
52,48,52,49,52,52,0,1,0,1,0,0
48,56,53,53,53,53,1,1,0,0,0,0
45,54,54,54,54,54,1,0,0,0,0,0
55,55,55,55,55,55,0,0,0,0,0,0
56,56,56,56,56,56,0,0,0,0,0,0
57,57,57,41,57,57,0,0,0,1,0,0
58,58,58,58,58,58,0,0,0,0,0,0
flashlight,1,There is a small flashlight here.,0
wand,3,There is a shiny metal wand with a crystal tip lying nearby.,0
recharger,10,A battery recharger lies here.,0
nodules,44,A pile of egg-shaped silicon nodules is here!,15
knife,2,A little metal knife is lying here.,0
spear,13,A four-foot long wooden spear is lying here.,0
diamonds,29,A handful of sparkling diamonds is here!,15
gold bars,8,There is a pile of gold bars here!,15
silver bars,9,There is a pile of silver bars here!,15
platinum bars,11,There is a pile of platinum bars here!,15
book,6,A large book with a dusty cover lies nearby.,0
magazine,52,There is an old magazine lying here.,0
weasel,41,A small furry weasel lies upon the floor sleeping.,0
disk,21,A solid gold disk with a hole in the center lies here!,15
dust,19,A small handful of magical dust is here.,0
cross,22,A wooden cross with rubies on it is here!,15
statue,23,An ivory statue is here!,15
printout,53,A computer printout of Explore is here!,15
ring,49,A silver ring is here!,15
dog,47,A silver statue of a small dog is here!,15
sword,33,A long and sharp sword lies here.,0
nest,24,A bird's nest filled with silver eggs is on the ground here!,15
plaque,37,A mahogany plaque with inlaid gold is here!,15
skin,43,A leopard skin lies here.,0
tape,42,A magnetic tape reel lies here!,15
mudball,38,A mudball lies here.,0
medallion,40,A crystal medallion on a gold chain lies here!,15
rock,5,A glowing rock lies here.,0
liquid,45,Some liquid that glows is in a container here.,0
obelisk,16,A stone obelisk is here!,15
plate,26,A metal plate with the inscription "Terre Haute" is here!,15
staff,46,A wooden staff lies on the floor.,0
sapphire,55,A perfectly round glowing sapphire lies on the floor!,15
emeralds,47,Several sparkling green emeralds are lying nearby!,15
pearl,34,A large black pearl lies here!,15
ruby,56,The beautiful Bird's Egg Ruby lies here!,15
abyss,24,"",0
coin,32,An Explore coin year 1979 is here!,15
abyss,23,"",0
sculpture,20,A finely carved sculpture of a dwarf is here!,15
rock-1,29,"",0
fissure,55,"",0
fissure,54,"",0
bridge,58,A crystal bridge spans the fissure.,0
end,0,end,0
scylla,17,A scylla (nymph from the waist up-- 6 ravenous dogs below) is here!,15,sword
basilisk,48,A lizard-like basilisk is here!,15,weasel
dragon,30,A huge green dragon is in the passage!,15,wand
cyclops,24,A giant one-eyed cyclops is here!,15,spear
dark,35,A dark (evil floating cloud of darkness) is here!,15,liquid
scorpion,18,A huge poisonous scorpion waits in the passage!,15,medallion
roc,45,A roc (2 headed giant bird) is here!,15,skin
troll,10,A ferocious troll stands in front of you!,15,rock
coronis,42,A coronis (evil wolf-like creature) waits in the passage!,15,mudball
end,0,end,0,end
1,shack
2,cellar
3,granite
4,forest
5,phosphorescent
6,library
7,mosquito
8,gold
9,silver
10,power
11,platinum
12,weapon
13,weapon2
14,heated
15,elbow
16,torches
17,sand
18,elbow2
19,sorcerer
20,lower-cross
21,auxiliary
22,crossroads
23,abyss
24,brink
25,tunnel1
26,grafitti
27,tunnel2
28,tunnel3
29,tunnel4
30,tunnel6
31,tunnel5
32,west-hall
33,mid-hall
34,east-hall
35,dark
36,thin
37,waterfall
38,short-hall
39,elbow3
40,metal
41,weasel
42,terminal
43,Lippard
44,chamber
45,light
46,twisted
47,experiment
48,basilisk
49,vault
50,finish
51,outside
52,scroll
53,printout-room
54,edge
55,fissure
56,no-exits
57,deadend
58,limbo
-1,end
